category,query,ground_truth,top_5_documents,document_similarities,best_match_document,best_match_similarity,accuracy,recall
Art and Music,ما هي التقنيات المطلوبة للعزف على آلة الناي؟,يتطلب العزف على الناي ثلاث تقنيات رئيسية: طريقة النفخ الصحيح، إمالة الآلة بزوايا مختلفة لإنتاج الأصوات، وسد الثقوب بطريقة معينة لإنتاج النغمات المطلوبة. يحتاج العازف إلى براعة كبيرة لإتقان هذه التقنيات.,"['تحتوي الآلة الناية على عدد من الفونات، وتكون فروعها متنوعة تتعلق بتحديات مختلفة مثل تقليل الضغط أو العوامر، وإدارة كبرى المرونة الكافية في الحركة، وكفاءة إنتاج الخروقات الصوتية.', '', '', '', '']","[0.8788584279150311, 0.0, 0.0, 0.0, 0.0]",تحتوي الآلة الناية على عدد من الفونات، وتكون فروعها متنوعة تتعلق بتحديات مختلفة مثل تقليل الضغط أو العوامر، وإدارة كبرى المرونة الكافية في الحركة، وكفاءة إنتاج الخروقات الصوتية.,0.8788584279150311,0.2,1
Art and Music,ما هي أهمية آلة العود في الموسيقى العربية؟,يعتبر العود آلة رئيسية في التخت الموسيقي الشرقي، ويستخدم في العديد من المؤلفات الموسيقية العربية. تشتهر بغداد بصناعة الأعواد عالية الجودة، ويُعتبر العود العراقي من أفضل الأنواع في العالم العربي.,"['الآلة العود تعتبر واحدة من الأساليب الأtractionية والأذبة والغنية بالكلمات الحمراء في موسيقى العربية.', '', '', '', '']","[0.7203171233536291, 0.0, 0.0, 0.0, 0.0]",الآلة العود تعتبر واحدة من الأساليب الأtractionية والأذبة والغنية بالكلمات الحمراء في موسيقى العربية.,0.7203171233536291,0.2,1
Art and Music,ما هي المجموعة التي قدمها بسيل سودة في عرض روما؟,قدم بسيل سودة في عرض روما مجموعة من 40 قطعة أزياء مستوحاة من فترة السبعينيات. استخدم في تصميماته أقمشة مثل الموسلين والحرير، مع إضافة الإكسسوارات لإضفاء لمسة عصرية.,"['مجموعة ""الرجل والطير""', 'بالنسبة لمسلمين في بلاد الشام، إضافة ما تلقاهوا من سيدل سودة فاتهم أنّها مسلم و قد دعت إلى توفيقهم بين المدينة والصحراء.', '', '', '']","[0.6933804039588211, 0.695030388716649, 0.0, 0.0, 0.0]",بالنسبة لمسلمين في بلاد الشام، إضافة ما تلقاهوا من سيدل سودة فاتهم أنّها مسلم و قد دعت إلى توفيقهم بين المدينة والصحراء.,0.695030388716649,0.4,1
Art and Music,ما هي الجوائز التي قدمتها مسابقة الرسم في معهد ثربانتس؟,شملت جوائز مسابقة الرسم في معهد ثربانتس تذكرة سفر ذهاب وإياب إلى إسبانيا، كاميرا تصوير، ومجموعة أدوات رسم كاملة. تم تقديم الجوائز للأطفال الفائزين في حفل خاص.,"['جائزة مكتوبة بحقितا، و جائزة المسرح، و جائزة فوز فيلا و جائزة الوسين.', '', '', '', '']","[0.6875873603523811, 0.0, 0.0, 0.0, 0.0]",جائزة مكتوبة بحقितا، و جائزة المسرح، و جائزة فوز فيلا و جائزة الوسين.,0.6875873603523811,0.2,1
Art and Music,ما هي أبرز الألقاب التي أطلقت على فيروز؟,"أطلقت على فيروز عدة ألقاب، منها ""سفيرتنا إلى النجوم""، وذلك بسبب جمال صوتها وتميزه. تعتبر فيروز واحدة من أشهر المطربات العربيات على مر العصور.","['أبرز ألقامها في منصة المهرجان .', '', '', '', '']","[0.7468253371041491, 0.0, 0.0, 0.0, 0.0]",أبرز ألقامها في منصة المهرجان .,0.7468253371041491,0.2,1
Education,ما هي البرامج التدريبية التي تقدمها الغرفة التجارية الصناعية في الأحساء؟,"تقدم الغرفة التجارية الصناعية في الأحساء برنامجين تدريبيين نسائيين: الأول بعنوان ""فنون التعامل مع الزوج"" في الفترة من 7 إلى 8 ربيع الثاني، والثاني بعنوان ""الحب وحده لا يكفي للأبناء"" في الفترة من 9 إلى 10 ربيع الثاني. تقدم هذه البرامج الدكتورة وداد العيسى من الكويت.","['البرامج التدريبيّة التي تقدمها الغرفة التجاريّة الصناعيّة في الأحشى و هي: 1. ميزانية الحسابات الفيدرالية; 2. تطور إدارة الأزيان وأثاث الضوء والمناديل .', '', '', '', '']","[0.8070244461018861, 0.0, 0.0, 0.0, 0.0]",البرامج التدريبيّة التي تقدمها الغرفة التجاريّة الصناعيّة في الأحشى و هي: 1. ميزانية الحسابات الفيدرالية; 2. تطور إدارة الأزيان وأثاث الضوء والمناديل .,0.8070244461018861,0.2,1
Education,ما هو البرنامج التأهيلي الذي قدمته مدرسة حبيب بن زيد الأنصاري الابتدائية؟,قدمت مدرسة حبيب بن زيد الأنصاري الابتدائية برنامجاً تأهيلياً للطلاب المستجدين في المرحلة الابتدائية لمدة ثلاثة أسابيع. يهدف البرنامج إلى كسر حاجز الخوف لدى الطلاب وترغيبهم في المدرسة، ويتضمن أنشطة تعليمية وترفيهية مثل الرحلات الأسبوعية إلى مدينة الألعاب.,"['البرنامjet الأسباني الاقليمي للتعليم المادي.', '', '', '', '']","[0.6725761809001161, 0.0, 0.0, 0.0, 0.0]",البرنامjet الأسباني الاقليمي للتعليم المادي.,0.6725761809001161,0.2,1
Education,ما هي أهداف الإصلاح في العالم العربي كما نوقش في المنتدى الاقتصادي العالمي؟,يهدف الإصلاح في العالم العربي إلى بناء خزان أفكار يشمل التعليم والقضاء والاقتصاد والإعلام. يتم ذلك من خلال مشاركة المجتمع بجميع شرائحه، مع التركيز على تحسين التعليم وتضييق الفجوة بين القادرين وغير القادرين على توفير بيئة تعليمية مناسبة.,"['أقدم إصلاح العالم العربي من أهم الأسباب هو الثورة المصرية في القرن العشرين والتي لفتت النزاع السياسي بين النักظمين البابليين الحاليين -البيلوكلوبين- وبرلمان مُسمى الجمهوري الذي انفyzه الحكم عن طريق ثرائهم والثروات.', '', '', '', '']","[0.7222000660019781, 0.0, 0.0, 0.0, 0.0]",أقدم إصلاح العالم العربي من أهم الأسباب هو الثورة المصرية في القرن العشرين والتي لفتت النزاع السياسي بين النักظمين البابليين الحاليين -البيلوكلوبين- وبرلمان مُسمى الجمهوري الذي انفyzه الحكم عن طريق ثرائهم والثروات.,0.7222000660019781,0.2,1
Education,ما هي الرياضيات، وما هو أصل نشأتها؟,الرياضيات هي دراسة القياس والحساب والبنى المجردة باستخدام المنطق والبراهين الرياضية. نشأت الرياضيات من حاجة الإنسان لقياس الظواهر الطبيعية وتقسيم الموارد مثل الطعام والوقت، بالإضافة إلى احتياجاته العملية في التجارة والبناء.,"['الرياضيات هي مجال من sciences تلاقي القابلة للتحقيق للمعرفة وبالطبع يستند إلى الاضطهاد بالمرجعية الفسيحية والإجtica.', '', '', '', '']","[0.754394001901423, 0.0, 0.0, 0.0, 0.0]",الرياضيات هي مجال من sciences تلاقي القابلة للتحقيق للمعرفة وبالطبع يستند إلى الاضطهاد بالمرجعية الفسيحية والإجtica.,0.754394001901423,0.2,1
Education,ما هو علم الفيزياء، وما هي مجالات دراسته؟,الفيزياء هو علم الطبيعة الذي يدرس القوانين الكونية المتحكمة في المادة والطاقة والفراغ والزمن. تشمل مجالات دراسته من الجسيمات تحت الذرية إلى حركة النجوم وسلوك الكون ككل. تعتبر الفيزياء العلم الأساسي الذي تقوم عليه علوم أخرى مثل الكيمياء والأحياء.,"['علم الفيزياء (Physics, Physiologia) هو مجال من sciences التي تطرق إلى القوى والمثانيات وواضح إيجارها في الطبيعة والسيادة. وترتبط علم الفيزياء بالعلم الإنساني مثل الكيمياء والمجتهب اليدوية الذي يُرتخبه بالغاية مع دراسة الإنسان.', '', '', '', '']","[0.657094299487131, 0.0, 0.0, 0.0, 0.0]","علم الفيزياء (Physics, Physiologia) هو مجال من sciences التي تطرق إلى القوى والمثانيات وواضح إيجارها في الطبيعة والسيادة. وترتبط علم الفيزياء بالعلم الإنساني مثل الكيمياء والمجتهب اليدوية الذي يُرتخبه بالغاية مع دراسة الإنسان.",0.657094299487131,0.2,1
Education,ما هو علم الأحياء، وما هي فروعه الرئيسية؟,علم الأحياء هو علم دراسة الكائنات الحية من حيث بنيتها وطبيعتها وأنواعها والقوانين التي تحكم عيشها وتطورها. تشمل فروعه الرئيسية علم الكائنات المجهرية، علم الحيوان، علم النبات، علم وظائف الأعضاء، الكيمياء الحيوية، وعلم البيئة.,"['علم الأحياء هو مجال sciences التي تتشارك مع العلم الطبيعية في تقديم رصد ومسارح للعادات والتطوريات والجريان الائتماني الصغير للنظوم في البيئة الطبيعية.', '', '', '', '']","[0.7539930629824381, 0.0, 0.0, 0.0, 0.0]",علم الأحياء هو مجال sciences التي تتشارك مع العلم الطبيعية في تقديم رصد ومسارح للعادات والتطوريات والجريان الائتماني الصغير للنظوم في البيئة الطبيعية.,0.7539930629824381,0.2,1
Education,ما هو علم الكيمياء، وما هي بداياته؟,الكيمياء هو العلم الذي يدرس المادة وتفاعلاتها وعلاقاتها بالطاقة. بدأ علم الكيمياء في الحضارات القديمة مثل الصين والهند، وانتشر إلى مصر وفارس حيث تم تطويره من خلال دمج مهارات المصريين مع نظريات الإغريق.,"['علم الكيمياء هو مجال sciences تلاقي القابلة للتحقيق للمعرفة وبالطبع يستند إلى استخدام الطاقات الداعمية من الطاقة والراديوفوتोन.', '', '', '', '']","[0.7719746223460421, 0.0, 0.0, 0.0, 0.0]",علم الكيمياء هو مجال sciences تلاقي القابلة للتحقيق للمعرفة وبالطبع يستند إلى استخدام الطاقات الداعمية من الطاقة والراديوفوتोन.,0.7719746223460421,0.2,1
Education,ما هي مساهمة العرب في تطوير علم الكيمياء؟,ساهم العرب في تطوير الكيمياء بشكل كبير منذ القرن الثاني الهجري، حيث اعتبروا أول من اشتغل بالكيمياء كعلم له قواعده وقوانينه. نقلوا معارفهم إلى أوروبا عبر الأندلس، وأصبحت أعمالهم مرجعاً للغرب خلال القرون الوسطى.,"['المساهمة العرب في تطوير علم الكيمياء قد ترجع إلى عدد كبير من العلماء الأوروبيين الذي قاما بتعمل وتطوير مختلف أنصائح واكادematiques للتربية والتعليم الکتروني، وكذلك إضافة هذه الانتباهات والأداب والتقاليد في تعلم الكيمياء بشكل فعال.', '', '', '', '']","[0.802393577948579, 0.0, 0.0, 0.0, 0.0]",المساهمة العرب في تطوير علم الكيمياء قد ترجع إلى عدد كبير من العلماء الأوروبيين الذي قاما بتعمل وتطوير مختلف أنصائح واكادematiques للتربية والتعليم الکتروني، وكذلك إضافة هذه الانتباهات والأداب والتقاليد في تعلم الكيمياء بشكل فعال.,0.802393577948579,0.2,1
Education,ما هي الكيمياء الحديثة، ومن هم أبرز العلماء الذين ساهموا في تطورها؟,الكيمياء الحديثة بدأت في القرن السابع عشر بأبحاث بويل الذي قسم الأجسام إلى عناصر ومركبات ومخاليط. تبع ذلك أبحاث بلاك، لافوازييه، برتلي، كافندش، ودالتون الذي وضع النظرية الذرية. تعرف الكيمياء الحديثة بأنها علم يدرس تكوين المادة والتغيرات التي تحدث فيها.,"['النظر إلى التطورات الجديدة في مجال التحليل العضوي والتحليلات المراقبة المزودة لتخزين وترسيق مادة الهيدجيك، حيث يمكن تعلم تقنيات تحليل الدهانات الكيميائية المتقدمة مع مرور الوقت كمان من خلال تقنيات التكنولوجيا التقريبية لتعزيز المحمولة الذكية التي تمنحها إمكانية التحقق من النشاطات والجीवन المعطاري للمواطنين.', 'المساهمة الأوروباء في تطوير علم الكيمياء قد ترجع إلى عدد كبير من العلماء الأوروبيين، ولكن من بينهم فلاوييف وبيونوسز وكالمان لخمسين عامًا من التطورات الأكثر تطبيقا في مجال الكيمياء.', 'كم عدد الساعات اليومية التي ي Spend أي شخص أمام الكمبيوتر قبل أن يبدو للبعض ألمatically كومpahtب، وهذا ما عادة يسبب أعراض صعوبات في حياته المنزولية?', '', '']","[0.6709964593866671, 0.888784173730337, 0.677641567120092, 0.0, 0.0]",المساهمة الأوروباء في تطوير علم الكيمياء قد ترجع إلى عدد كبير من العلماء الأوروبيين، ولكن من بينهم فلاوييف وبيونوسز وكالمان لخمسين عامًا من التطورات الأكثر تطبيقا في مجال الكيمياء.,0.888784173730337,0.6000000000000001,1
Education,ما هي أهمية التعليم في عملية الإصلاح في الأردن؟,يعتبر التعليم أحد الركائز الأساسية في عملية الإصلاح في الأردن، حيث يساهم في تحسين ثقافة المجتمع وترسيخ مبادئ تكافؤ الفرص. تم إدخال اللغة الإنجليزية والكمبيوتر إلى المدارس الحكومية، مما أدى إلى زيادة شغف الطلاب بالتعليم.,"['الوضوء الاامين لتعلم الكيمياء وهو أساس تعلم كمان ومتغير كبير جدا في تطور العديد من المجالات. وممكن أن توفر المعرفة بتكيف المادة والتربيها والتطبيق الفعَّال مع الحاجات المتطلبة من المجتمع وتحقيق الابراز العلمي والاجتماعي. والتعلم الكيميائي هو عملية دrier للغاية، حيث يركز على تحقيق الاطلاقي والاحكامات بشكل حياتي وتطوير القدرات اللازمة الا لتحesis في المخاطر.', '', '', '', '']","[0.8318531129791321, 0.0, 0.0, 0.0, 0.0]",الوضوء الاامين لتعلم الكيمياء وهو أساس تعلم كمان ومتغير كبير جدا في تطور العديد من المجالات. وممكن أن توفر المعرفة بتكيف المادة والتربيها والتطبيق الفعَّال مع الحاجات المتطلبة من المجتمع وتحقيق الابراز العلمي والاجتماعي. والتعلم الكيميائي هو عملية دrier للغاية، حيث يركز على تحقيق الاطلاقي والاحكامات بشكل حياتي وتطوير القدرات اللازمة الا لتحesis في المخاطر.,0.8318531129791321,0.2,1
Environment,ما هي السحب، وكيف تتشكل؟,السحب هي تجمع مرئي لجزيئات دقيقة من الماء أو الجليد أو كليهما معاً، وتتشكل عندما تقوم التيارات الهوائية المتصاعدة بأخذ بخار الماء إلى داخل الغلاف الجوي حيث درجات الحرارة المنخفضة، فيتكاثف الهواء المشبع ببخار الماء مكوناً جزيئات الماء السائلة أو المتجمدة التي تمتزج بذرات الغبار مشكلة السحب.,"['السبب الأساسي للتشوه في الغطاء الإشعاعي هو عدم توفر الكافيين من البروتين الذي يعتبر كلاسéricا لتبنیه النسل. حيث انه يزيد من رغبة المنظومة في البقاء في المادة ، و ذلك عند وجود الكافيين المثبطات كالاكسيانيد (ACEs) .', '', '', '', '']","[0.6649827048552811, 0.0, 0.0, 0.0, 0.0]",السبب الأساسي للتشوه في الغطاء الإشعاعي هو عدم توفر الكافيين من البروتين الذي يعتبر كلاسéricا لتبنیه النسل. حيث انه يزيد من رغبة المنظومة في البقاء في المادة ، و ذلك عند وجود الكافيين المثبطات كالاكسيانيد (ACEs) .,0.6649827048552811,0.2,1
Environment,ما هي الطبيعة، وما هي أهميتها؟,الطبيعة تشير إلى العالم الطبيعي أو الفيزيائي، وتشمل الحياة عمومًا والظواهر المرتبطة بها. تعني الطبيعة أيضًا العمليات التي تحدث دون تدخل بشري، مثل الطقس والسمات الجيولوجية. تعتبر الطبيعة مصدرًا للعديد من الموارد التي يحتاجها الإنسان للبقاء، مثل الغذاء والماء والهواء.,"['الطبيعة هي مصدر الكئياس ، أو الأمل.', '', '', '', '']","[0.6440878424973271, 0.0, 0.0, 0.0, 0.0]",الطبيعة هي مصدر الكئياس ، أو الأمل.,0.6440878424973271,0.2,1
Environment,ما هي مشكلة مكب نفايات الرصيفة، وما هو الحل المقترح؟,مكب نفايات الرصيفة تسبب في انبعاث روائح كريهة بسبب عملية التخمر التي تستمر لعدة سنوات بعد إغلاق المكب. الحل المقترح هو سحب الغازات الضارة مثل ثاني أكسيد الكربون والميثان عبر آبار خاصة وتحويلها إلى طاقة كهربائية، مما يسهم في تقليل الانبعاثات بنسبة 90%.,"['المشكلة الهاونية اللازمة للنفايات الرصيف، وهي تنفجر قواميا وضايقا ، ويُفهم في النتاج أن هذه المشاكل هي عنصر أساسي لحث على تطوير منتصف القدرة الفنية للمخاطر في مجال الصحة والبيئة والثقافة والاقتصاد .', '', '', '', '']","[0.713708829046901, 0.0, 0.0, 0.0, 0.0]",المشكلة الهاونية اللازمة للنفايات الرصيف، وهي تنفجر قواميا وضايقا ، ويُفهم في النتاج أن هذه المشاكل هي عنصر أساسي لحث على تطوير منتصف القدرة الفنية للمخاطر في مجال الصحة والبيئة والثقافة والاقتصاد .,0.713708829046901,0.2,1
Environment,ما هي البراكين، وكيف تحدث؟,البراكين هي أماكن تخرج منها المواد الصهيرية الحارة مع الأبخرة والغازات المصاحبة لها من خلال فوهات أو شقوق في القشرة الأرضية. تحدث البراكين نتيجة تراكم الضغوط تحت الأرض مما يؤدي إلى انفجار المواد المنصهرة إلى السطح.,"['البراكين هما النشطاء السياسيين المناضلون والسيادون والأمين العامون ، الذين يعتمدون على الكيمياء لتحقيق إرadyسهم ويخدمو الأثر في تنفيذ القوانين الديمقرatically.', '', '', '', '']","[0.792711315238193, 0.0, 0.0, 0.0, 0.0]",البراكين هما النشطاء السياسيين المناضلون والسيادون والأمين العامون ، الذين يعتمدون على الكيمياء لتحقيق إرadyسهم ويخدمو الأثر في تنفيذ القوانين الديمقرatically.,0.792711315238193,0.2,1
Environment,ما هي العاصفة الثلجية، وأين تحدث؟,العاصفة الثلجية هي عاصفة قاسية تصاحبها برد شديد ورياح قوية وسقوط ثلوج. تحدث هذه العواصف في شمال القارة الأمريكية الشمالية وسيبيريا ودول اسكندنافيا وغرينلاند.,"['العاصفة الثلجية ليست هي الاعتدال المتلاحق في الجو بالفعل، но يمكن ان تكون الأجواء الثلقة للمروحين والمسailed وبالأخص عندما يتعاملون مع الغزاة التي تشكلها المباني والمنشآт والضباب والمجتمعات المحلية. والأعلاية التي تنبعث عن الاعتدال المتلاحق في الجو هي التلاشي المتزايد والتمدد، وبenton لمرور الأيام أو لمدة أسبوعين ، عادةً يكون الجو جلياً ، كما يغلب عليها الغطاء المعتدل من الجو والهوالي وتختلف المحاصيل بشكل كبيرdepending على الجرعة الدافئة التي ترفض.', '', '', '', '']","[0.7739091759689991, 0.0, 0.0, 0.0, 0.0]",العاصفة الثلجية ليست هي الاعتدال المتلاحق في الجو بالفعل، но يمكن ان تكون الأجواء الثلقة للمروحين والمسailed وبالأخص عندما يتعاملون مع الغزاة التي تشكلها المباني والمنشآт والضباب والمجتمعات المحلية. والأعلاية التي تنبعث عن الاعتدال المتلاحق في الجو هي التلاشي المتزايد والتمدد، وبenton لمرور الأيام أو لمدة أسبوعين ، عادةً يكون الجو جلياً ، كما يغلب عليها الغطاء المعتدل من الجو والهوالي وتختلف المحاصيل بشكل كبيرdepending على الجرعة الدافئة التي ترفض.,0.7739091759689991,0.2,1
